# Source: https://www.pixelpharma.be/files/eigen-tekst-documenten/Lijst%20van%20Geneesmiddelen%20en%20medische%20hulpmiddelen.pdf
# Columns: cnk<TAB>name
2312775	Gadovist 1 mmol/1 ml inj. oploss. i.v. [voorgev. spuit] 1x 20mmol/20ml
2312759	Gadovist 1 mmol/1 ml inj. oploss. i.v. [voorgev. spuit] 1x 7,5mmol/7,5ml
3262920	Gadovist 1 mmol/1 ml inj. oploss. i.v. [flac.] 1x 15mmol/15ml
2634632	Multihance 0,5 mmol/1 ml inj. oploss. i.v. [voorgev. spuit] 1x 7,5mmol/15ml
457739	Berberis-Homaccord bucc./or. druppels oploss. 30ml
459370	Berberis-Homaccord bucc./or. druppels oploss. 100ml
467753	Sabal-Homaccord bucc./or. druppels oploss. 30ml
3513900	Caspofungin Sandoz inf. oploss. conc. (pdr.) i.v. [flac.] 1x 50mg
2585362	Irinotecan AB inf. oploss. (conc.) i.v. [flac.] 1x 40mg/2ml
3167137	Traumeel gel 50g
76505	Negaban inj./inf. oploss. (pdr.) i.m./i.v. [flac.] 1x 1g
3581972	Traumeel bucc./or. druppels oploss. 30ml
3581980	Traumeel bucc./or. druppels oploss. 100ml
3078243	Tisseel S/D weefsellijm (oploss.) [voorgev. spuit] 10ml (5ml+5ml)
3513918	Caspofungin Sandoz inf. oploss. conc. (pdr.) i.v. [flac.] 1x 70mg
1664218	Niquitin transderm. pleister Clear 14x 21mg/24u
3078235	Tisseel S/D weefsellijm (oploss.) [voorgev. spuit] 4ml (2ml+2ml)
89938	Tiapridal inj. oploss. i.m./i.v. [amp.] 12x 100mg/2ml
457846	Drosera-Homaccord bucc./or. druppels oploss. 30ml
40410	Eusaprim 400/80 inf. oploss. (conc.) i.v. [amp.] 10x
3498458	Irinotecan Accord inf. oploss. (conc.) i.v. [flac.] 1x 100mg/5ml
3498466	Irinotecan Accord inf. oploss. (conc.) i.v. [flac.] 1x 300mg/15ml
3498482	Irinotecan Accord inf. oploss. (conc.) i.v. [flac.] 1x 40mg/2ml
3498474	Irinotecan Accord inf. oploss. (conc.) i.v. [flac.] 1x 500mg/25ml
3137106	Mama Natura Dormi tabl. 120x
1682251	Muco Rhinathiol 2 % siroop oploss. (zonder suiker) Kind 200ml 100mg/5ml
1232990	Neutroses kauwtabl. 42x
3560042	Rodizen filmomh. tabl. 60x 200mg
466920	Nux Vomica-Homaccord bucc./or. druppels oploss. 100ml
3299351	Zykadia harde caps. 150x 150mg
3444460	Furosemide Accord inj./inf. oploss. i.m./i.v. [flac.] 10x 250mg/25ml
3364007	Alimta inf. oploss. conc. (pdr.) i.v. [flac.] 1x 100mg
96271	Vermox siroop susp. 30ml 100mg/5ml
124388	Penicilline inj./inf. oploss. (pdr.) i.m./i.v./i.artic./i.burs. [flac.] 100x 2MMIE
65979	Penicilline inj./inf. oploss. (pdr.) i.m./i.v./i.artic./i.burs. [flac.] 100x 5MMIE
3392164	Donnafyta Premens filmomh. tabl. 30x 4mg
3392172	Donnafyta Premens filmomh. tabl. 90x 4mg
3562238	Bosentan Teva filmomh. tabl. 56x 125mg
47530	Corsodyl dent./gingiv./oromuc. gel 50g 10mg/1g
3393857	Cerdelga harde caps. 56x 84,4mg
3315017	Orfadin harde caps. 60x 20mg
