# Source: https://www.ensie.nl/medische-eponiemen
# Columns: slug<TAB>title
malassezia-furfur	Malassezia furfur
malta-koorts	Malta-koorts
malthusianisme	malthusianisme
mansoni-schistosoma	mansoni, Schistosoma
marburg-virus	Marburg-virus
masker-van-julliard	masker van Julliard
masker-van-ombredanne	masker van Ombrédanne
masochisme	masochisme
master-test	Master-test
may-gruenwald-kleuring	May-Grünwald-kleuring
mayo-clinic	Mayo Clinic
mccune-albright-syndroom	McCune-Albright-syndroom
meadow-syndroom	Meadow-syndroom
meckel-divertikel	Meckel-divertikel
medina-worm	Medina-worm
mediterranean-disease	Mediterranean disease
melanosis-van-riehl	melanosis van Riehl
meleney-ulcus	Meleney-ulcus
membraan-van-wachendorff	membraan van Wachendorff
mendelen	mendelen
menghini-naald	Menghini-naald
mes-van-beer	mes van Beer
mesmerisme	mesmerisme
metatarsalgie-van-morton	metatarsalgie van Morton
methode-van-kouwenhoven	methode van Kouwenhoven
methode-van-laborde	methode van Laborde
methode-van-meitzer	methode van Meitzer
methode-van-mensendieck	methode van Mensendieck
methode-van-westergren	methode van Westergren
methyleenblauwkleuring-van-loeffler	methyleenblauwkleuring van Löffler
meulengracht-dieet	Meulengracht-dieet
meynet-knobbels	Meynet-knobbels
middellandse-zeekoorts	Middellandse-Zeekoorts
mikulicz-cellen	Mikulicz-cellen
miller-abbott-sonde	Miller-Abbott-sonde
milton-urticaria	Milton-urticaria
minerva-jacket	minerva-jacket
minimata-ziekte	Minimata-ziekte
moenckeberg-sclerose	Mönckeberg-sclerose
monteggia-fractuur	Monteggia-fractuur
montgomery-klieren	Montgomery-klieren
mooren-ulcus	Mooren-ulcus
morfine	morfine
morgan	morgan
moritz-reactie	Moritz-reactie
moynihan-forceps	Moynihan-forceps
muenchhausen-syndroom	Münchhausen-syndroom
naad-van-bassini	naad van Bassini
naald-van-reverdin	naald van Reverdin
naaldvoerder-van-von-bergmann	naaldvoerder van von Bergmann
naevus-angiokeratosis-fabry	naevus angiokeratosis Fabry
nairobi-oog	Nairobi-oog
narcisme	narcisme
natal-sore	Natal sore
nelaton-catheter	Nélaton-catheter
neusplastiek-van-tagliacozzi	neusplastiek van Tagliacozzi
nicol-prisma	Nicol-prisma
nicolaier-bacil	Nicolaier-bacil
nicotine	nicotine
nikolsky-fenomeen	Nikolsky-fenomeen
nocardiosis	nocardiosis
norwalk-virus	Norwalk-virus
nymfomanie	nymfomanie
obermeieri-borrelia	obermeieri, Borrelia
oblomov-syndroom	Oblomov-syndroom
ochsner-ring	Ochsner-ring
odditis	odditis
oedipus-complex	Oedipus-complex
oftalmometer-van-javal	oftalmometer van Javal
oginoisme	oginoïsme
ohm	ohm
